centrals;location;tuneable;fuel;hydro;green;fuel_consumption;fuel_cost;availability;init_value;lifetime;carbon_production;raw_power;nb_employees;mean_salary;max_var;height;flow;stock_available;capacity;Demand;lost
Volobe;Volobe;FALSE;FALSE;TRUE;TRUE;0;0;0.650887574;20675460;100;0;6.76;1;1E-10;1;10;10;250;250;11.654;1
572;Toamasina IV;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.8333333333;18400;25;730000;6;1;0.000004;0.9;;;;;;
573;Toamasina IV;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.833333333;18400;25;730000;6;1;0.000004;0.9;;;;;;
Tm/ENELEC 1;Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.4938271605;9001.553062985;25;730000;8.1;1;0.000004;0.9;;;;;;
Tm/ENELEC 2 (1);Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.8;1666.954270923;25;730000;1.5;1;0.000004;0.9;;;;;;
Tm/ENELEC 2 (2);Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.2941176471;13224.503882657;25;730000;11.9;1;0.000004;0.9;;;;;;
Tm/ENELEC 3;Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.4118993135;24281.967213115;25;730000;21.85;1;0.000004;0.9;;;;;;
Tm/ENELEC 2 (3);Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.572519084;14558.067299396;25;730000;13.1;1;0.000004;0.9;;;;;;
FARAFATY;Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.4166666667;333.390854185;25;730000;0.3;1;0.000004;0.9;;;;;;
Tm III;Betainomby;TRUE;TRUE;FALSE;FALSE;230000;0.000686;0.625;1333.563416739;25;730000;1.2;1;0.000004;0.9;;;;;;
